logclf_only_tfidf,rf_only_tfidf,gbc_only_tfidf,logclf_tfidf_with_features,rf_tfidf_with_features,gbc_tfidf_with_features,logclf_tfidf_with_cleanedfeatures,rf_tfidf_with_cleanedfeatures,gbc_tfidf_with_cleanedfeatures,logclf_only_features,rf_only_features,gbc_only_features,spacy_v0,spacy_v1
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,6.125638174125925e-05,0.0011251089163124561
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,1,0,1,1,0.9998432397842407,0.9998465776443481
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.667288521886803e-05,0.0007830450776964426
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
1,1,1,1,1,1,1,1,0,0,0,0,0.9999464750289917,0.9993945360183716
1,1,1,1,1,1,1,1,0,0,1,0,0.9998785257339478,0.9989340901374817
0,1,0,1,1,1,0,1,0,0,1,1,0.9983915686607361,0.998759388923645
0,0,0,0,0,0,0,0,0,0,0,0,0.0014522873098030686,0.015831826254725456
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9989815354347229
0,0,0,0,0,0,0,0,0,0,0,0,0.00026232784148305655,0.00013680865231435746
0,0,0,0,0,0,0,0,0,0,0,0,0.0007362615433521569,0.00158957380335778
0,0,0,0,0,0,0,0,0,1,0,1,5.175422484171577e-05,0.0005967114120721817
1,1,1,1,1,1,1,1,1,0,0,0,0.9829628467559814,0.9956461787223816
1,1,1,1,1,1,1,1,1,1,1,1,0.999736487865448,0.9985063672065735
0,0,0,0,0,0,0,0,0,0,0,0,4.9788974138209596e-05,0.0007213785429485142
0,0,0,0,0,0,0,0,0,0,0,0,0.0014831502921879292,0.00812908262014389
1,1,1,1,1,1,1,1,1,0,0,0,0.9999252557754517,0.9972412586212158
1,1,1,1,1,1,1,1,1,1,1,1,0.9999545812606812,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,0.001802719314582646,0.0009321686811745167
0,0,1,0,0,1,0,0,0,0,0,0,4.539787187241018e-05,0.0005143044400028884
1,1,1,1,1,1,1,1,1,0,0,0,0.9997873902320862,0.9999245405197144
1,1,1,1,1,1,1,1,1,0,0,0,0.9999253749847412,0.9999545812606812
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
0,0,0,0,0,0,0,0,0,0,0,0,0.01583455316722393,0.0021473977249115705
0,0,1,0,0,1,0,0,0,0,0,0,0.01411754172295332,0.006607444025576115
1,1,1,1,1,1,1,1,1,0,1,0,0.9999028444290161,0.9998267292976379
1,1,1,1,1,0,0,1,0,0,0,0,0.9999545812606812,0.9999405145645142
1,1,0,1,1,1,0,1,0,0,1,0,0.9983812570571899,0.995451033115387
0,0,0,0,0,0,0,0,0,0,0,0,0.0006136418087407947,0.00017633811512496322
0,0,0,0,0,0,0,0,0,0,0,0,4.539787187241018e-05,4.539787187241018e-05
